Thu Apr  3 23:16:18 2014    profil_no-ruler

         248409 function calls (247719 primitive calls) in 32.205 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.024    0.024    1.538    1.538 Display.py:1(<module>)
        1    0.023    0.023    0.026    0.026 DisplayOpenGL.py:80(create_surface)
      357    0.023    0.000    0.030    0.000 threading.py:141(release)
        1    0.022    0.022    0.029    0.029 Font.py:1(<module>)
      172    0.022    0.000    0.028    0.000 Shape.py:539(rotateToZ)
        4    0.022    0.006    0.022    0.006 {PIL._imaging.new}
      558    0.022    0.000    0.030    0.000 string.py:158(convert)
        1    0.022    0.022    0.042    0.042 Building.py:1(<module>)
        1    0.020    0.020    0.038    0.038 numeric.py:1(<module>)
        1    0.020    0.020    0.062    0.062 Texture.py:2(<module>)
      171    0.020    0.000    0.020    0.000 {built-in method getch}
        1    0.020    0.020    0.536    0.536 __init__.py:15(<module>)
        1    0.020    0.020    0.080    0.080 __init__.py:38(<module>)
     1819    0.019    0.000    0.019    0.000 {math.sin}
     3638    0.019    0.000    0.019    0.000 {math.radians}
      507    0.019    0.000    0.226    0.000 ImageFont.py:142(getsize)
        1    0.017    0.017    0.042    0.042 Image.py:27(<module>)
      485    0.017    0.000    0.021    0.000 urlparse.py:320(<genexpr>)
      537    0.017    0.000    0.017    0.000 Shape.py:172(set_shader)
      721    0.017    0.000    0.025    0.000 DefaultInstance.py:6(instance)
        1    0.017    0.017    0.022    0.022 ctypeslib.py:51(<module>)
        1    0.017    0.017    0.164    0.164 urllib2.py:76(<module>)
      485    0.017    0.000    0.021    0.000 urllib.py:1199(<genexpr>)
        1    0.017    0.017    0.072    0.072 httplib.py:67(<module>)
        1    0.017    0.017    0.051    0.051 core.py:21(<module>)
        1    0.016    0.016    0.402    0.402 npyio.py:1107(genfromtxt)
      899    0.016    0.000    0.053    0.000 sre_parse.py:201(get)
        1    0.016    0.016    0.018    0.018 __init__.py:84(<module>)
        1    0.016    0.016    0.016    0.016 Helix.py:1(<module>)
      172    0.015    0.000    0.713    0.004 Display.py:80(loop_running)
     1043    0.015    0.000    0.015    0.000 {unichr}
        1    0.015    0.015    0.015    0.015 __init__.py:11(<module>)
     2327    0.014    0.000    0.014    0.000 {thread.get_ident}
      123    0.014    0.000    0.014    0.000 {posix.stat}
        1    0.014    0.014    0.053    0.053 Event.py:1(<module>)
        1    0.014    0.014    0.068    0.068 Image.py:316(preinit)
        1    0.014    0.014    0.029    0.029 Keyboard.py:1(<module>)
       73    0.014    0.000    0.020    0.000 sre_compile.py:207(_optimize_charset)
        1    0.014    0.014    0.014    0.014 linalg.py:10(<module>)
     1819    0.013    0.000    0.013    0.000 {math.cos}
      172    0.013    0.000    0.013    0.000 Display.py:191(clear)
        1    0.013    0.013    0.040    0.040 urllib.py:23(<module>)
        1    0.012    0.012    0.107    0.107 __init__.py:45(<module>)
      198    0.012    0.000    0.027    0.000 {method 'decode' of 'str' objects}
        1    0.012    0.012    0.057    0.057 index_tricks.py:1(<module>)
     1134    0.012    0.000    0.012    0.000 {_ctypes.sizeof}
     1480    0.012    0.000    0.012    0.000 {chr}
        4    0.011    0.003    0.011    0.003 {_ctypes.dlopen}
        1    0.011    0.011    0.015    0.015 __init__.py:24(<module>)
       55    0.011    0.000    0.013    0.000 utils.py:113(__call__)
      537    0.011    0.000    0.011    0.000 {method 'count' of 'unicode' objects}
      507    0.010    0.000    0.010    0.000 {method 'draw_ink' of 'ImagingDraw' objects}
        4    0.010    0.003    0.036    0.009 Shader.py:152(loadShader)
      174    0.010    0.000    0.019    0.000 _iotools.py:205(_delimited_splitter)
