Thu Apr  3 23:52:07 2014    profil_all_nonumpy

         274136 function calls (273512 primitive calls) in 41.506 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      558    0.023    0.000    0.030    0.000 string.py:158(convert)
        1    0.023    0.023    0.029    0.029 Font.py:1(<module>)
        4    0.023    0.006    0.023    0.006 {PIL._imaging.new}
      651    0.022    0.000    2.401    0.004 osd.py:74(draw)
        1    0.021    0.021    0.042    0.042 Building.py:1(<module>)
        1    0.021    0.021    0.062    0.062 Texture.py:2(<module>)
        1    0.020    0.020    0.034    0.034 numeric.py:1(<module>)
        1    0.020    0.020    0.530    0.530 __init__.py:15(<module>)
     4052    0.020    0.000    0.020    0.000 Loadable.py:61(_load_disk)
        1    0.020    0.020    0.080    0.080 __init__.py:38(<module>)
      507    0.018    0.000    0.221    0.000 ImageFont.py:142(getsize)
        1    0.017    0.017    0.051    0.051 core.py:21(<module>)
        1    0.017    0.017    0.041    0.041 Image.py:27(<module>)
       31    0.016    0.001    9.726    0.314 osd.py:33(draw)
        1    0.016    0.016    0.017    0.017 __init__.py:84(<module>)
        1    0.016    0.016    0.019    0.019 ctypeslib.py:51(<module>)
      851    0.016    0.000    0.049    0.000 sre_parse.py:201(get)
        1    0.016    0.016    0.016    0.016 Helix.py:1(<module>)
     1975    0.015    0.000    0.015    0.000 {method 'extend' of 'list' objects}
        1    0.015    0.015    0.015    0.015 linalg.py:10(<module>)
      476    0.015    0.000    0.015    0.000 Shape.py:172(set_shader)
        1    0.014    0.014    0.015    0.015 __init__.py:11(<module>)
      122    0.014    0.000    0.014    0.000 {posix.stat}
        1    0.014    0.014    0.020    0.020 DisplayOpenGL.py:80(create_surface)
      982    0.014    0.000    0.014    0.000 {unichr}
        1    0.014    0.014    0.057    0.057 Event.py:1(<module>)
        1    0.013    0.013    0.105    0.105 __init__.py:45(<module>)
       31    0.013    0.000    0.701    0.023 Display.py:223(_loop_begin)
        1    0.012    0.012    0.023    0.023 io.py:34(<module>)
     1667    0.012    0.000    0.012    0.000 {method 'get' of 'dict' objects}
      415    0.012    0.000    0.037    0.000 utf_8.py:15(decode)
       67    0.012    0.000    0.018    0.000 sre_compile.py:207(_optimize_charset)
        4    0.011    0.003    0.011    0.003 {_ctypes.dlopen}
        1    0.011    0.011    0.058    0.058 index_tricks.py:1(<module>)
        1    0.011    0.011    0.069    0.069 Image.py:316(preinit)
      375    0.011    0.000    0.024    0.000 Event.py:10(<genexpr>)
        1    0.011    0.011    0.015    0.015 __init__.py:24(<module>)
      507    0.011    0.000    0.011    0.000 {method 'draw_ink' of 'ImagingDraw' objects}
        1    0.011    0.011    0.026    0.026 Keyboard.py:1(<module>)
     2026    0.011    0.000    0.011    0.000 Loadable.py:65(_load_opengl)
      120    0.010    0.000    0.024    0.000 genericpath.py:26(isfile)
        4    0.010    0.003    0.036    0.009 Shader.py:152(loadShader)
       55    0.010    0.000    0.012    0.000 utils.py:113(__call__)
        1    0.010    0.010    1.403    1.403 Utility.py:1(<module>)
       63    0.010    0.000    0.012    0.000 __init__.py:382(__getitem__)
        1    0.010    0.010    0.026    0.026 npyio.py:1(<module>)
       31    0.010    0.000    0.010    0.000 {built-in method getch}
        1    0.010    0.010    0.013    0.013 defmatrix.py:1(<module>)
     1950    0.009    0.000    0.009    0.000 Loadable.py:69(_unload_opengl)
      504    0.009    0.000    0.024    0.000 _util.py:4(isStringType)
        1    0.009    0.009    0.033    0.033 threading.py:1(<module>)
        2    0.009    0.005    0.113    0.057 Shader.py:67(__init__)
        1    0.009    0.009    0.709    0.709 add_newdocs.py:9(<module>)
        1    0.009    0.009    0.050    0.050 tempfile.py:18(<module>)
      476    0.009    0.000    0.009    0.000 {method 'count' of 'unicode' objects}
        1    0.009    0.009    0.032    0.032 Model.py:1(<module>)
    86/25    0.008    0.000    0.197    0.008 sre_parse.py:301(_parse_sub)
        2    0.008    0.004    0.029    0.014 function_base.py:1(<module>)
      953    0.008    0.000    0.008    0.000 {method 'upper' of 'unicode' objects}
        1    0.008    0.008    0.013    0.013 EventStream.py:1(<module>)
      468    0.008    0.000    0.010    0.000 sre_parse.py:138(append)
        1    0.008    0.008    0.013    0.013 six.py:1(<module>)
       67    0.008    0.000    0.026    0.000 sre_compile.py:178(_compile_charset)
      801    0.007    0.000    0.007    0.000 {method 'group' of '_sre.SRE_Match' objects}
        1    0.007    0.007    0.036    0.036 numerictypes.py:88(<module>)
        4    0.007    0.002    0.007    0.002 {posix.popen}
      540    0.007    0.000    0.013    0.000 sre_parse.py:195(match)
        1    0.007    0.007    0.025    0.025 Log.py:1(<module>)
      581    0.007    0.000    0.007    0.000 {method 'startswith' of 'str' objects}
        4    0.007    0.002    0.007    0.002 {print}
       31    0.007    0.000    0.007    0.000 {method 'strftime' of 'datetime.date' objects}
       75    0.007    0.000    0.009    0.000 threading.py:121(acquire)
        1    0.007    0.007    0.010    0.010 Buffer.py:1(<module>)
       25    0.007    0.000    0.049    0.002 sre_compile.py:361(_compile_info)
        1    0.006    0.006    0.008    0.008 utils.py:3(<module>)
       30    0.006    0.000    0.020    0.001 Display.py:279(_loop_end)
        9    0.006    0.001    0.018    0.002 abc.py:86(__new__)
        1    0.006    0.006    0.012    0.012 collections.py:1(<module>)
        1    0.006    0.006    0.289    0.289 __init__.py:54(_linux)
        1    0.006    0.006    0.006    0.006 ImageFont.py:28(<module>)
       25    0.006    0.000    0.395    0.016 re.py:226(_compile)
        1    0.006    0.006    0.007    0.007 Shape.py:1(<module>)
      155    0.006    0.000    2.053    0.013 osd.py:77(set_text)
        1    0.006    0.006    0.011    0.011 Clashtest.py:1(<module>)
        1    0.006    0.006    0.041    0.041 random.py:40(<module>)
        1    0.006    0.006    0.007    0.007 arrayprint.py:4(<module>)
      432    0.006    0.000    0.006    0.000 {min}
        1    0.006    0.006    0.006    0.006 shutil.py:5(<module>)
      375    0.006    0.000    0.010    0.000 Event.py:9(<genexpr>)
        1    0.006    0.006    0.019    0.019 loaderObj.py:1(<module>)
       26    0.006    0.000    0.008    0.000 numerictypes.py:232(bitname)
        1    0.006    0.006    0.014    0.014 decorators.py:15(<module>)
       24    0.006    0.000    0.006    0.000 {built-in method __new__ of type object at 0x252e08}
        1    0.006    0.006    0.033    0.033 BmpImagePlugin.py:27(<module>)
      420    0.006    0.000    0.007    0.000 sre_parse.py:126(__len__)
        1    0.005    0.005    0.006    0.006 Camera.py:1(<module>)
        1    0.005    0.005    0.125    0.125 __init__.py:6(<module>)
       95    0.005    0.000    0.009    0.000 sre_compile.py:354(_simple)
